"Id","SalePrice"
1461,110130.472374412
1462,150069.540115268
1463,209331.043372184
1464,204106.881252632
1465,179647.789970161
1466,189470.037885356
1467,182619.534352437
1468,179545.986213803
1469,185908.194399086
1470,139510.270287744
1471,215450.918718681
1472,89237.186908152
1473,99770.2911380686
1474,191842.073988199
1475,90232.4245326337
1476,282761.457427649
1477,229000.477018093
1478,254819.009150522
1479,262993.404577892
1480,386752.940764429
1481,292417.917516357
1482,195018.130861772
1483,177156.759584355
1484,162351.547677345
1485,164015.298571238
1486,196189.659884337
1487,294889.901252245
1488,246190.501798128
1489,171846.307342186
1490,230906.272509558
1491,179855.39512883
1492,98479.8965936033
1493,207402.282432698
1494,277219.431251469
1495,292127.498290885
1496,230031.405475191
1497,182820.829153155
1498,153508.633293507
1499,155211.216870478
1500,157270.562572502
1501,178022.817420481
1502,144455.704327066
1503,243395.141149658
1504,218142.913600964
1505,222729.518378172
1506,231466.462116684
1507,275827.450042788
1508,249966.972354726
1509,161597.550594788
1510,166692.672370266
1511,171932.191571548
1512,213822.558140129
1513,169517.402925987
1514,180967.645960662
1515,260228.68105955
1516,188387.108692276
1517,144012.053962565
1518,203162.255023649
1519,216265.830249937
1520,132897.718901996
1521,139862.532580985
1522,206934.618452429
1523,115931.827424033
1524,107615.263808161
1525,114288.375566907
1526,112787.421786985
1527,117167.391775267
1528,119001.660034447
1529,159627.502124933
1530,192840.338597768
1531,159606.008869784
1532,91429.7055005732
1533,169185.73232409
1534,110875.235266284
1535,165273.634673166
1536,120311.334022787
1537,129505.381629885
1538,148620.520614235
1539,206371.693892358
1540,148058.764627906
1541,155914.965428142
1542,151762.399749986
1543,185502.737772965
1544,86207.2015115473
1545,106289.505797641
1546,158671.956880006
1547,152757.042441745
1548,124982.607901393
1549,127543.01823154
1550,197744.607381021
1551,143344.285817837
1552,194664.90698764
1553,95555.6421775227
1554,108533.729409889
1555,208622.631527448
1556,103698.74210847
1557,120395.845065112
1558,93003.1808839548
1559,109075.397274617
1560,207255.20873696
1561,174409.984568918
1562,100043.141669155
1563,107186.138543216
1564,215210.0856372
1565,178105.900762787
1566,221269.325897266
1567,107779.63578339
1568,237974.080533648
1569,172517.113639763
1570,109642.210519987
1571,134603.649809199
1572,138132.576557796
1573,229277.883093352
1574,173968.674673201
1575,223921.71823333
1576,281333.189341005
1577,171732.642039658
1578,161781.218593866
1579,144533.714647345
1580,202890.017862103
1581,110218.683571979
1582,132114.397464714
1583,310847.508254844
1584,224483.636404973
1585,132485.048282998
1586,44661.6512646127
1587,77044.1709947287
1588,141966.044303709
1589,130886.546651129
1590,132056.848092853
1591,69595.2183725931
1592,152684.621499933
1593,137125.319536029
1594,152400.897129459
1595,117498.62202962
1596,218194.331726336
1597,220171.366906245
1598,167437.469791347
1599,162838.114962103
1600,181511.476929878
1601,70111.3270341423
1602,107528.925351039
1603,91888.1116901892
1604,242937.585694919
1605,255588.494081961
1606,198468.035828131
1607,257053.456632016
1608,222780.565847869
1609,169158.211293679
1610,148738.372878464
1611,161427.73277431
1612,189089.723456443
1613,195383.379529983
1614,129048.683558211
1615,66684.42721391
1616,63279.2600599684
1617,99817.0718146576
1618,102764.110266422
1619,123341.849144933
1620,269203.373005452
1621,146034.221414384
1622,150911.39661088
1623,264557.024934639
1624,230391.83618988
1625,107975.68154317
1626,216987.199794756
1627,209669.004403341
1628,276444.754825407
1629,174041.572405203
1630,318049.372786871
1631,195213.103499576
1632,221425.98052503
1633,161647.6302532
1634,203745.729050905
1635,191459.289807399
1636,178043.781663285
1637,227427.099136346
1638,210239.448673617
1639,216540.685675794
1640,258309.163715423
1641,214528.924826079
1642,219948.102918538
1643,212760.316468016
1644,210671.676999239
1645,254268.898041206
1646,190799.376713825
1647,191399.270923951
1648,148570.933400254
1649,118218.805486688
1650,137238.255483801
1651,127835.350729167
1652,91133.2458915967
1653,88708.4279454583
1654,191046.68062844
1655,175610.82026299
1656,189423.631407275
1657,191317.546197503
1658,187295.401936061
1659,101159.599343063
1660,160143.466447414
1661,380878.936482317
1662,315568.352542779
1663,306404.672302777
1664,391183.648853826
1665,257487.189808249
1666,305167.556004282
1667,312517.652959737
1668,278945.641870669
1669,256926.599491327
1670,284463.749526699
1671,253621.629913414
1672,357303.72321801
1673,286827.337034879
1674,246641.835674344
1675,209707.98991012
1676,208264.3015488
1677,210133.370583165
1678,365019.565071213
1679,324821.987023425
1680,256219.997104616
1681,202476.24327202
1682,276584.35585609
1683,197439.486118361
1684,177065.123153289
1685,179440.090846394
1686,180799.599906698
1687,157708.000320187
1688,191460.245666706
1689,188818.848439448
1690,193036.19742642
1691,179673.115948842
1692,253490.176556402
1693,149697.808608398
1694,195242.326836674
1695,160327.426079168
1696,284491.892761887
1697,160477.937707121
1698,333653.129769456
1699,300545.519508003
1700,239439.990918656
1701,247513.560989892
1702,243490.15474173
1703,247312.56326299
1704,279782.444488144
1705,206843.0430158
1706,374042.664358693
1707,188170.034969561
1708,186723.97205212
1709,242228.959626597
1710,201470.059393787
1711,246062.231707265
1712,234673.835268378
1713,276575.1076489
1714,213923.360997654
1715,189027.469357081
1716,153292.087715218
1717,146404.940873437
1718,86430.893668645
1719,187576.109488223
1720,235916.714028294
1721,144449.106751635
1722,82689.6324917446
1723,177672.754080299
1724,219803.689662003
1725,233110.565352087
1726,184603.585679186
1727,179522.719122317
1728,171948.269383656
1729,167040.235356896
1730,181201.292799576
1731,131721.894006767
1732,138309.299197135
1733,111316.255708078
1734,133325.101225271
1735,108647.058990711
1736,98560.3935031983
1737,327778.929986816
1738,214462.969563114
1739,311101.803227009
1740,225982.933489119
1741,183951.057384935
1742,178816.066587024
1743,175107.996809951
1744,248704.281346511
1745,199476.26041706
1746,210984.98697579
1747,233500.457999555
1748,244260.351821697
1749,200541.800531664
1750,141441.650391486
1751,228134.763738289
1752,105210.638090445
1753,181005.161664042
1754,238240.72964534
1755,205246.523142842
1756,149907.635406984
1757,100410.285980653
1758,208610.365362128
1759,208846.690169522
1760,180552.236854341
1761,203396.087250647
1762,222739.106044444
1763,188232.09551204
1764,103041.858404679
1765,215334.764003445
1766,227687.495742443
1767,251467.566251517
1768,133740.749961272
1769,196569.322471024
1770,133738.380660612
1771,129708.890761832
1772,140618.000420197
1773,149316.908442008
1774,224220.620572412
1775,118763.63452228
1776,127838.358026273
1777,99095.9914019431
1778,123651.583484045
1779,73955.1085584534
1780,175498.615044955
1781,127795.226664351
1782,87364.130797859
1783,162186.528508461
1784,83150.5942697059
1785,109101.54698404
1786,246659.89505641
1787,170663.78912033
1788,30927.4541929113
1789,116172.220030378
1790,76836.170565704
1791,272983.341652565
1792,144760.337990356
1793,166256.078505388
1794,143558.440818445
1795,123668.892103071
1796,87287.0858624537
1797,152441.34690552
1798,107452.584191331
1799,92554.9151068316
1800,99278.6794619869
